time taken:  0.01459813117980957
iterations 23
value string:  0 0 -7.46
0 1 -7.18
0 2 -6.86
0 4 -6.13
0 5 -5.7
0 7 0.0
1 0 -7.18
1 1 -6.86
1 2 -6.51
1 3 -6.13
1 4 -5.7
1 5 -5.22
1 7 -1.0
2 0 -7.46
2 1 -7.18
2 2 -6.86
2 4 -5.22
2 5 -4.69
2 7 -1.9
3 0 -7.71
3 1 -7.46
3 2 -7.18
3 4 -4.69
3 5 -4.1
3 6 -3.44
3 7 -2.71
4 0 -7.94
4 2 -7.46
4 3 -7.71
4 5 -4.69
4 6 -4.1
4 7 -3.44
5 0 -8.15
5 1 -7.94
5 2 -7.71
5 3 -7.94
5 4 -8.15
5 6 -4.69
6 3 -8.15
6 4 -8.33
6 5 -8.5
6 7 -9.02
7 0 -8.78
7 1 -8.65
7 2 -8.5
7 3 -8.33
7 4 -8.5
7 5 -8.65
7 6 -8.78
7 7 -8.91

policy string:  0 0 2.0
0 1 2.0
0 2 3.0
0 4 2.0
0 5 3.0
0 7 0.0
1 0 2.0
1 1 2.0
1 2 2.0
1 3 2.0
1 4 2.0
1 5 3.0
1 7 1.0
2 0 1.0
2 1 1.0
2 2 1.0
2 4 2.0
2 5 3.0
2 7 1.0
3 0 1.0
3 1 1.0
3 2 1.0
3 4 2.0
3 5 2.0
3 6 2.0
3 7 1.0
4 0 1.0
4 2 1.0
4 3 0.0
4 5 1.0
4 6 1.0
4 7 1.0
5 0 1.0
5 1 2.0
5 2 1.0
5 3 0.0
5 4 0.0
5 6 1.0
6 3 1.0
6 4 0.0
6 5 0.0
6 7 3.0
7 0 2.0
7 1 2.0
7 2 2.0
7 3 1.0
7 4 0.0
7 5 0.0
7 6 0.0
7 7 0.0

